category_id,category_name
1,Travel
2,Mystery
3,Historical Fiction
4,Sequential Art
5,Classics
6,Philosophy
7,Romance
8,Womens Fiction
9,Fiction
10,Childrens
11,Religion
12,Nonfiction
13,Music
14,Default
15,Science Fiction
16,Sports and Games
17,Add a comment
18,Fantasy
19,New Adult
20,Young Adult
21,Science
22,Poetry
23,Paranormal
24,Art
25,Psychology
26,Autobiography
27,Parenting
28,Adult Fiction
29,Humor
30,Horror
31,History
32,Food and Drink
33,Christian Fiction
34,Business
35,Biography
36,Thriller
37,Contemporary
38,Spirituality
39,Academic
40,Self Help
41,Historical
42,Christian
43,Suspense
44,Short Stories
45,Novels
46,Health
47,Politics
48,Cultural
49,Erotica
50,Crime
53,algorithms
